head_type,tail_type,relation,index
None,None,None,0
GENE,PHENOTYPE,调控,1
BREED,PHENOTYPE,表现,2
ENVIRONMENT,PLACE,影响,3
METHODS,METHODS,单位,4
ENVIRONMENT,PHENOTYPE,影响,5
PLACE,PHENOTYPE,表现,6
METHODS,PHENOTYPE,调控,7
PHENOTYPE,METHODS,单位,8
METHODS,PHENOTYPE,方法,9
PLACE,PHENOTYPE,影响,10
PHENOTYPE,PHENOTYPE,影响,11
BREED,ENVIRONMENT,表现,12
PHENOTYPE,METHODS,方法,13
PHENOTYPE,METHODS,表现,14
PHENOTYPE,PHENOTYPE,表现,15
GENE,BREED,调控,16
ENVIRONMENT,PHENOTYPE,表现,17
BREED,METHODS,方法,18
METHODS,GENE,方法,19
ENVIRONMENT,METHODS,单位,20
GENE,PHENOTYPE,影响,21
PLACE,METHODS,方法,22
METHODS,METHODS,可视化,23
BREED,METHODS,可视化,24
METHODS,GENE,单位,25
BREED,PHENOTYPE,调控,26
PHENOTYPE,PHENOTYPE,方法,27
METHODS,GENE,可视化,28
METHODS,METHODS,方法,29
PHENOTYPE,GENE,表现,30
PHENOTYPE,METHODS,调控,31
METHODS,GENE,表现,32
ENVIRONMENT,GENE,影响,33
GENE,PHENOTYPE,表现,34
METHODS,GENE,调控,35
PHENOTYPE,GENE,方法,36
METHODS,BREED,方法,37
BREED,PHENOTYPE,方法,38
GENE,ENVIRONMENT,调控,39
ENVIRONMENT,ENVIRONMENT,影响,40
ENVIRONMENT,PHENOTYPE,调控,41
BREED,BREED,可视化,42
PHENOTYPE,BREED,表现,43
METHODS,METHODS,表现,44
BREED,GENE,表现,45
ENVIRONMENT,BREED,影响,46
METHODS,PHENOTYPE,影响,47
ENVIRONMENT,METHODS,影响,48
BREED,METHODS,表现,49
BREED,PLACE,表现,50
GENE,PHENOTYPE,方法,51
